cloud_cover,sunshine,global_radiation,max_temp,mean_temp,min_temp,precipitation,pressure,snow_depth,lower_thames_group,year,month
7.0,0.0,13.0,8.2,7.4,6.6,0.0,103870.0,0.0,76.0,1989,1
6.0,0.0,13.0,9.5,7.1,6.0,0.0,103550.0,0.0,75.0,1989,1
8.0,0.0,13.0,11.2,6.2,3.0,0.4,102950.0,0.0,75.0,1989,1
5.0,3.8,39.0,11.1,8.0,4.8,0.0,102530.0,0.0,75.0,1989,1
5.0,0.0,13.0,10.7,6.2,1.2,3.7,102340.0,0.0,75.0,1989,1
6.0,4.0,40.0,11.8,6.8,3.0,0.0,101480.0,0.0,74.0,1989,1
7.0,0.0,13.0,10.4,9.8,7.9,0.0,102460.0,0.0,74.0,1989,1
8.0,0.0,13.0,11.4,9.0,7.7,0.0,102250.0,0.0,75.0,1989,1
8.0,0.0,14.0,8.3,10.0,8.7,0.2,101480.0,0.0,75.0,1989,1
4.0,5.7,50.0,9.8,6.6,4.9,0.0,102040.0,0.0,75.0,1989,1
5.0,5.6,50.0,9.8,4.0,-1.8,0.2,101990.0,0.0,75.0,1989,1
5.0,0.9,24.0,12.4,5.1,0.4,5.0,101360.0,0.0,75.0,1989,1
5.0,1.1,26.0,10.0,6.8,1.1,3.8,102590.0,0.0,75.0,1989,1
5.0,7.3,59.0,11.0,7.0,4.1,0.0,102860.0,0.0,75.0,1989,1
7.0,0.0,15.0,10.3,8.4,5.8,0.0,103490.0,0.0,75.0,1989,1
6.0,1.0,26.0,9.8,9.0,7.6,1.5,103220.0,0.0,75.0,1989,1
6.0,0.7,24.0,7.5,8.8,7.9,0.3,103190.0,0.0,75.0,1989,1
0.0,6.1,56.0,4.6,3.0,-1.5,0.0,103770.0,0.0,75.0,1989,1
2.0,0.0,16.0,8.2,0.0,-4.5,0.2,103450.0,0.0,75.0,1989,1
6.0,0.0,16.0,10.2,3.0,-2.3,4.4,102680.0,0.0,75.0,1989,1
6.0,2.7,40.0,9.3,6.6,3.0,2.1,101440.0,0.0,75.0,1989,1
4.0,7.5,66.0,11.6,5.0,0.7,0.0,102950.0,0.0,74.0,1989,1
5.0,1.9,36.0,8.0,6.4,1.2,0.0,103140.0,0.0,74.0,1989,1
7.0,2.9,43.0,5.7,7.2,6.5,0.0,102920.0,0.0,75.0,1989,1
8.0,0.0,17.0,11.1,4.2,2.6,0.0,102450.0,0.0,75.0,1989,1
4.0,3.6,49.0,11.6,6.6,2.2,0.0,102430.0,0.0,76.0,1989,1
6.0,0.4,24.0,10.1,8.0,4.4,0.0,102860.0,0.0,76.0,1989,1
5.0,0.0,18.0,7.5,8.4,6.7,4.0,103190.0,0.0,77.0,1989,1
3.0,3.0,47.0,8.7,2.9,-1.7,0.2,104290.0,0.0,77.0,1989,1
5.0,0.9,31.0,7.5,3.4,-1.9,0.0,104350.0,0.0,78.0,1989,1
6.0,0.1,22.0,4.4,4.7,1.9,0.0,104160.0,0.0,78.0,1989,1
7.0,0.0,19.0,5.5,3.1,1.8,0.0,103560.0,0.0,79.0,1989,2
5.0,0.5,28.0,10.6,2.4,-0.6,0.0,103420.0,0.0,79.0,1989,2
5.0,4.4,60.0,11.9,5.7,0.8,0.0,102960.0,0.0,80.0,1989,2
7.0,0.1,23.0,12.2,6.6,1.4,0.5,102340.0,0.0,81.0,1989,2
6.0,1.7,42.0,15.0,10.2,8.1,0.0,102510.0,0.0,81.0,1989,2
3.0,8.3,86.0,12.3,11.8,8.5,0.0,102840.0,0.0,81.0,1989,2
4.0,5.2,69.0,12.1,10.5,8.7,0.0,102740.0,0.0,82.0,1989,2
2.0,5.0,69.0,12.0,8.3,4.5,0.0,102550.0,0.0,82.0,1989,2
2.0,6.7,81.0,9.6,7.1,2.2,0.0,101750.0,0.0,83.0,1989,2
3.0,0.5,32.0,11.1,6.6,3.5,0.0,102330.0,0.0,84.0,1989,2
3.0,5.9,78.0,11.2,4.5,-2.1,0.1,103570.0,0.0,84.0,1989,2
5.0,3.5,62.0,10.7,6.0,0.7,0.0,103580.0,0.0,85.0,1989,2
6.0,0.4,32.0,9.9,5.6,0.4,2.4,102860.0,0.0,85.0,1989,2
4.0,6.1,83.0,11.5,6.6,3.4,0.0,103130.0,0.0,86.0,1989,2
